,z0,da0,n0,f,E,T,Q,score
0,2.0,88.5,732.0,1.8,0.6427656092437419,489.77973517584064,0.002035867925606452,0.5981404184958995
1,2.0,76.5,729.0,2.6,0.5254007480175419,419.1921231336313,0.004455381135333603,0.40193160211536255
2,2.0,88.5,731.0,1.81,0.6410947921527803,488.92261663484396,0.0020549371283908207,0.39699024365174573
3,2.0,88.5,732.0,1.82,0.6391730100290697,487.5190959048559,0.0020741119777280123,0.39540539556688953
4,2.0,88.5,729.0,1.84,0.6360581615293442,486.13451217129233,0.0021127786160608604,0.3948017099742483
5,2.0,88.5,732.0,1.83,0.6374054447307695,486.4073060994536,0.002093392473618026,0.39442152548629356
6,2.0,88.5,731.0,1.85,0.6340587757506376,484.4931793469159,0.002132270405056518,0.3929352444049414
7,2.0,88.5,729.0,1.87,0.6309153868170065,482.8926798859746,0.002171570922706299,0.39189448599197363
8,2.0,88.5,732.0,1.86,0.632214023115707,483.14366505778855,0.002151867840604997,0.39151181270985036
9,2.0,86.5,730.0,1.87,0.6273584838661395,480.82476471861725,0.0022142802210373064,0.3900437767753932
10,2.0,88.5,732.0,1.88,0.6288428804652854,481.0257703392613,0.0021913796513604216,0.38953861798379863
11,2.0,88.5,731.0,1.9,0.6256703463960808,479.2186520501068,0.002231314048327134,0.38798731074804954
12,2.0,88.5,732.0,1.91,0.623915300770344,477.93209166664815,0.002251439716639723,0.3865038932262438
13,2.0,88.5,731.0,1.92,0.6224343105208231,477.1857613211283,0.002271671031505134,0.3859375331522039
14,2.0,88.5,731.0,1.93,0.6208408177238938,476.18511562551714,0.002292007992923367,0.38489657729558285
15,2.0,88.5,732.0,1.94,0.6191363707372843,474.93409377772406,0.002312450600894422,0.3833737346407959
16,2.0,88.5,732.0,1.95,0.6175752563235838,473.9552602789471,0.0023329988554182993,0.3823089640691525
17,2.0,83.0,729.0,1.93,0.6118575983844944,471.8981279265233,0.002422392067943637,0.3813069136924054
18,2.0,88.5,732.0,1.96,0.6160296717760809,472.9864148770964,0.0023536527564949985,0.3812335725735545
19,2.0,88.5,732.0,1.97,0.614499383614454,472.0274054691733,0.00237441230412452,0.38014764119959615
20,2.0,88.5,730.0,1.98,0.6132341024844561,471.589617011218,0.0023952774983068627,0.38001276229445746
21,2.0,86.5,730.0,1.99,0.608474443311498,468.9590787241584,0.002464614918675596,0.3771042820941671
22,2.0,88.5,732.0,2.0,0.6099980321730631,469.20791780987906,0.002437324826330015,0.37682770485335976
23,2.0,86.5,732.0,2.0,0.6067550926077987,467.53269233948157,0.0024861787235887388,0.37497694161980627
24,2.0,80.5,731.0,1.96,0.6028291211306414,466.3469105748069,0.002555318245847027,0.374457742194078
25,2.0,88.5,732.0,2.03,0.6056263793240034,466.4717647612043,0.0025011881675109076,0.37341751405640383
26,2.0,86.5,731.0,2.02,0.6039734369413988,465.96415888352766,0.002529630601158079,0.3731360599560787
27,2.0,88.5,732.0,2.06,0.6013788312936089,463.81530549064644,0.0025660023276671993,0.3699217378320094
28,2.0,88.5,730.0,2.07,0.6002297590947808,463.4361867703367,0.0025878183408249403,0.36973455951133866
29,2.0,88.5,732.0,2.08,0.5986134623710747,462.0869041062769,0.0026097400005355036,0.3675463694505427
30,2.0,88.5,729.0,2.1,0.596255841497026,461.1158001534907,0.0026539002596150953,0.3666471398893601
31,2.0,88.5,732.0,2.09,0.5972501131018858,461.23510820871684,0.0026317673067988876,0.3663458972897932
32,2.0,88.5,732.0,2.11,0.5945611807374567,459.5557380978875,0.002676138858984124,0.36392056592660127
33,2.0,88.5,731.0,2.12,0.593352452774343,458.96645761801915,0.0026984831049059756,0.36320110307516607
34,2.0,88.5,731.0,2.14,0.5907358034185689,457.33182850073086,0.0027434885364081433,0.3607327406811794
35,2.0,88.5,732.0,2.15,0.5893295274748156,456.2907301614846,0.0027661497219884598,0.3589794166473754
36,2.0,86.5,732.0,2.14,0.5875454217398773,455.52934609195364,0.002799421363379656,0.3579011024554864
37,2.0,88.5,730.0,2.18,0.5857576711840411,454.3851311818353,0.002834767158046343,0.3562270315548755
38,2.0,86.5,731.0,2.17,0.5838570760665416,453.38962408431865,0.0028693010620079607,0.3545636708392428
39,2.0,88.5,731.0,2.21,0.5819408808517953,451.84361671327423,0.002904335413079623,0.3518875662464035
40,2.0,88.5,730.0,2.22,0.5808415515187665,451.3162228987561,0.0029277361245296945,0.35111744088931685
41,2.0,88.5,732.0,2.23,0.5794148328550034,450.11210527734966,0.002951242482532587,0.34879569468227273
42,2.0,86.5,732.0,2.22,0.5776289732893175,449.35001726439754,0.0029879290113421684,0.3475245125448476
43,2.0,83.0,731.0,2.19,0.5760411265378828,449.1428219063769,0.003025730621159786,0.3474399515052979
44,2.0,88.5,732.0,2.25,0.5770434372772785,448.6361004439174,0.0029985721381968387,0.34620019598591767
45,2.0,88.5,732.0,2.27,0.5747127156428603,447.1861045062285,0.003046324380072378,0.3435895257824921
46,2.0,88.5,732.0,2.28,0.5735622777504054,446.47064598434247,0.0030703589708393807,0.3422792340417345
47,2.0,88.5,732.0,2.29,0.5724216171500203,445.7614360084991,0.003094499208159206,0.34096602806549225
48,2.0,86.5,727.0,2.3,0.568929477471272,444.69576611888715,0.003183354371156514,0.3394888621639809
49,2.0,88.5,731.0,2.31,0.5702775933719049,444.5803061225771,0.0031430966224573215,0.33884947431745877
50,2.0,86.5,732.0,2.29,0.569505688689706,444.29726912920154,0.0031585478888128244,0.338223642452918
51,2.0,88.5,730.0,2.33,0.5681700593041438,443.42004042791524,0.003192116622966725,0.3367260900579798
52,2.0,86.5,731.0,2.31,0.5673802403685013,443.12677144011565,0.003208268942747891,0.3360616026771323
53,2.0,88.5,728.0,2.35,0.5662065241878856,442.49702061054137,0.003241559209687417,0.3351190613849441
54,2.0,88.5,731.0,2.34,0.5669678564425441,442.5223681218796,0.0032167850930506594,0.33488369471503876
55,2.0,80.5,731.0,2.27,0.5629476732031025,441.44862195980977,0.003316826800960047,0.33285469197500994
56,2.0,88.5,732.0,2.36,0.5647004627104644,440.965253290508,0.0032664389728769947,0.33171632913949256
57,2.0,88.5,732.0,2.37,0.5636336700989957,440.3032123969456,0.003291424382619396,0.33039019112718376
58,2.0,88.5,731.0,2.39,0.5616313147778236,439.20727971071415,0.0033417121417626634,0.3282528617089444
59,2.0,88.5,732.0,2.4,0.5604851812197766,438.3501917609366,0.00336701449116353,0.32641078072789625
60,2.0,88.5,731.0,2.41,0.5595570161453096,437.91975989625314,0.003392422487117219,0.32559958725361476
61,2.0,88.5,732.0,2.42,0.5584283728712003,437.0750791142861,0.0034179361296237296,0.3237597046215848
62,2.0,88.5,732.0,2.43,0.5574123160541,436.4453938566808,0.0034435554186830622,0.3224355165406432
63,2.0,88.5,732.0,2.44,0.5564043578503156,435.82086995364625,0.003469280354295217,0.3211125714929779
64,2.0,88.5,731.0,2.45,0.5555072455501736,435.4077824623253,0.003495110936460194,0.32030317256754764
65,2.0,88.5,731.0,2.46,0.5545148145090771,434.7925522168207,0.0035210471651779917,0.31898267584249945
66,2.0,88.5,730.0,2.47,0.5536328060511405,434.38752842225705,0.003547089040448613,0.31817614256264126
67,2.0,88.5,730.0,2.48,0.5526555334519034,433.78137194261467,0.0035732365622720553,0.3168588868425555
68,2.0,88.5,731.0,2.49,0.5515840288909424,432.9765111306923,0.00359948973064832,0.3150337881857616
69,2.0,88.5,730.0,2.5,0.5507237915422781,432.5836067388413,0.0036258485455774063,0.31423172645308944
70,2.0,88.5,732.0,2.51,0.5495673992214778,431.5885386426424,0.0036523130070593144,0.3119074666238243
71,2.0,88.5,731.0,2.52,0.5487210954234566,431.20370911804326,0.003678883115094046,0.31110874364150526
72,2.0,88.5,732.0,2.53,0.5476815563746017,430.4223174795878,0.0037055588696815974,0.3093023316582731
