,z0,da0,n0,f,E,T,Q,score
0,2.0,85.5,715.0,2.0,0.24941420961135388,370.4225174825175,0.002324149696500013,0.5979413124368801
1,2.0,80.5,733.0,2.58,0.23739487813502685,354.2697871125353,0.0038588828767697446,0.4020586875631199
2,2.0,85.5,723.0,2.02,0.2483797065184495,369.0409342262027,0.0023643447906248703,0.3876820739310057
3,2.0,83.5,722.0,2.18,0.24495457961718453,364.36374037459655,0.0027572118106403503,0.3772292964208302
4,2.0,88.5,723.0,2.16,0.2450138949987924,364.83698478561547,0.002577840766999828,0.36157997823386057
5,2.0,85.5,731.0,2.21,0.2436622332660839,362.81584874126435,0.002766145750178945,0.3545090253451442
6,2.0,80.5,717.0,2.4,0.24120704181857688,359.22811715481174,0.0033829024616193904,0.34758130998842307
7,2.0,83.5,712.0,2.39,0.24148939115110016,359.8466353250905,0.003248495261887701,0.3473462605261791
8,2.0,88.5,715.0,2.33,0.242112683228422,361.040530027912,0.0029465084823834383,0.3413766231926762
9,2.0,80.5,732.0,2.43,0.23984329812466598,357.4344019429265,0.0034598430708957027,0.3205102663411227
10,2.0,88.5,703.0,2.56,0.23885776823236932,356.8153573968705,0.0034897294695338987,0.3052533415046523
11,2.0,88.5,717.0,2.59,0.23762144498349205,355.18983829017304,0.0035643517177020726,0.2808432251866162
