,z0,da0,n0,f,E,T,Q,score
0,2.0,88.5,733.0,2.01,0.24777994310833393,368.47435360713484,0.0022757293350956637,0.6011231748242098
1,2.0,80.5,733.0,2.6,0.23709556631396173,353.88448105782345,0.003913893553933485,0.4040808460467866
2,2.0,88.5,731.0,2.02,0.24766958725021293,368.3311018406902,0.002295193908566068,0.4029534325909543
3,2.0,88.5,731.0,2.05,0.24695972780550837,367.3923052283874,0.0023541672192543147,0.3986511919745474
4,2.0,88.5,733.0,2.09,0.24591747682856518,366.0133257178665,0.002434150677485057,0.3904331745535631
5,2.0,88.5,734.0,2.13,0.2449747144605341,364.76947691599185,0.0025156797097878915,0.38240604002548517
6,2.0,88.5,733.0,2.17,0.24418636531088372,363.73375610614795,0.0025987543161628177,0.37594160155600115
7,2.0,88.5,734.0,2.2,0.24350833858873294,362.84162992321035,0.0026620745539288225,0.36847524575121804
8,2.0,88.5,734.0,2.24,0.24270969447136323,361.7941008174387,0.002747853914929909,0.35955388058718235
9,2.0,88.5,734.0,2.28,0.24193778232337645,360.78332711888714,0.0028351788500030864,0.35003841192084634
10,2.0,88.5,733.0,2.34,0.24088362660829396,359.40720117535943,0.002969064203998025,0.3361897709897388
11,2.0,88.5,733.0,2.36,0.2405249135859789,358.93917404675466,0.0030144654423657174,0.3309516210509764
12,2.0,88.5,731.0,2.41,0.2397633696661534,357.9498032025702,0.0031296590099262984,0.3202343344971243
13,2.0,88.5,733.0,2.44,0.23914609166229597,357.14379129112336,0.003199934331016715,0.30941496893541076
14,2.0,88.5,733.0,2.48,0.23848844409370307,356.2895365928795,0.003294987136450351,0.298479224266464
15,2.0,88.5,733.0,2.51,0.23800829358195158,355.666713446351,0.003367291023510388,0.29028409266260674
16,2.0,88.5,734.0,2.54,0.23748654420132048,354.9892857602609,0.0034404642959859778,0.2808559829288577
17,2.0,88.5,734.0,2.59,0.23672817623742023,354.0084115177848,0.0035643517177020726,0.2674994912438745
