,z0,da0,n0,f,E,T,Q,score
0,2.0,88.5,734.0,2.0,0.2479573265882406,368.7077929155313,0.0022563613600047653,0.5981577649017361
1,2.0,88.5,734.0,2.6,0.23657982775859304,353.81676378117794,0.00358941899718381,0.4018422350982639
2,2.0,88.5,734.0,2.01,0.24771481904949214,368.38675911993164,0.0022757293350956637,0.39692883293312226
3,2.0,88.5,734.0,2.02,0.24747460693783996,368.0689038767637,0.002295193908566068,0.39634455198540725
4,2.0,88.5,734.0,2.03,0.24723665704398134,367.75418021234617,0.002314755080415977,0.39577303855626766
5,2.0,88.5,734.0,2.04,0.24700093680152777,367.4425420740503,0.0023344128506453937,0.39515400617653795
6,2.0,88.5,734.0,2.05,0.2467674142714593,367.13394430783546,0.0023541672192543147,0.3944750204857296
7,2.0,88.5,734.0,2.06,0.24653605812702858,366.8283426364382,0.002374018186242742,0.39373173769775593
8,2.0,88.5,734.0,2.07,0.24630683763909988,366.5256936381945,0.0023939657516106744,0.3929222199667164
9,2.0,88.5,734.0,2.08,0.24607972266190808,366.2259547264724,0.0024140099153581135,0.3920455139474058
10,2.0,88.5,734.0,2.09,0.2458546836192241,365.92908412969507,0.002434150677485057,0.3911011767353968
11,2.0,88.5,734.0,2.1,0.2456316914909129,365.6350408719346,0.0024543880379915076,0.3900890857356847
12,2.0,88.5,734.0,2.11,0.24541071779987164,365.3437847540581,0.002474721996877463,0.3890093514728133
13,2.0,88.5,734.0,2.12,0.24519173459933466,365.05527633540686,0.002495152554142925,0.3878622730068005
14,2.0,88.5,734.0,2.13,0.2449747144605341,364.76947691599185,0.0025156797097878915,0.3866483127522798
15,2.0,88.5,734.0,2.14,0.24475963046070412,364.48634851918814,0.002536303463812365,0.38536808076431694
16,2.0,88.5,734.0,2.15,0.24454645617141782,364.20585387491286,0.002557023816216343,0.38402232386346774
17,2.0,88.5,734.0,2.16,0.24433516564724578,363.9279564032698,0.002577840766999828,0.3826119172974419
18,2.0,88.5,734.0,2.17,0.24412573341472657,363.6526201986464,0.0025987543161628177,0.3811378577324638
