,z0,da0,n0,f,E,T,Q,score
0,2.0,88.5,732.0,1.8,0.6427656092437419,489.77973517584064,0.002035867925606452,0.5911718816218159
1,2.0,76.5,724.0,2.6,0.5258724959477529,420.1236926744839,0.004455381135333603,0.4093063996168365
2,2.0,88.5,732.0,1.81,0.6409596269938758,488.6431706804837,0.0020549371283908207,0.3860584195836125
3,2.0,86.5,732.0,1.8,0.6392367118953155,487.9193280297272,0.002075439582386018,0.3860212196288138
4,2.0,88.5,730.0,1.83,0.63767378133721,486.9608379571422,0.002093392473618026,0.38553480382295957
5,2.0,88.5,732.0,1.84,0.6356566242506436,485.307600965849,0.0021127786160608604,0.3839879413618015
6,2.0,88.5,732.0,1.85,0.6339262483284426,484.2197845363916,0.002132270405056518,0.38327149990266324
7,2.0,88.5,732.0,1.86,0.632214023115707,483.14366505778855,0.002151867840604997,0.3825418420333425
8,2.0,88.5,732.0,1.87,0.6305196610051202,482.07905487842186,0.002171570922706299,0.38179894817144006
9,2.0,88.5,731.0,1.88,0.6289734997270944,481.2947957733189,0.0021913796513604216,0.3814787924746199
10,2.0,88.5,732.0,1.89,0.6271834058807343,479.9836316682399,0.0022112940265673663,0.38027345698132137
11,2.0,88.5,731.0,1.9,0.6256703463960808,479.2186520501068,0.002231314048327134,0.3799324248822432
12,2.0,86.5,731.0,1.89,0.6239193939332368,478.47659721459246,0.0022549217781668383,0.3797114318724711
13,2.0,88.5,731.0,1.92,0.6224343105208231,477.1857613211283,0.002271671031505134,0.37833329019801626
14,2.0,88.5,731.0,1.93,0.6208408177238938,476.18511562551714,0.002292007992923367,0.37751408975097434
15,2.0,88.5,732.0,1.94,0.6191363707372843,474.93409377772406,0.002312450600894422,0.3762298426410179
16,2.0,88.5,731.0,1.95,0.6177016404975629,474.21461333262135,0.0023329988554182993,0.37583685966990954
17,2.0,86.5,731.0,1.95,0.6143914896960819,472.4943190066041,0.0023794405914998734,0.3746178746382318
18,2.0,88.5,732.0,1.96,0.6160296717760809,472.9864148770964,0.0023536527564949985,0.3745220035211219
19,2.0,86.5,732.0,1.96,0.6127341464030547,471.2771764458532,0.0024005720394222768,0.3732608424567051
20,2.0,86.5,732.0,1.97,0.6112172020985516,470.32679976910913,0.0024218115765923653,0.372351136111282
21,2.0,86.5,730.0,1.99,0.608474443311498,468.9590787241584,0.002464614918675596,0.3714337451379225
22,2.0,88.5,732.0,2.0,0.6099980321730631,469.20791780987906,0.002437324826330015,0.37095662199671664
23,2.0,88.5,730.0,2.02,0.6073150104470996,467.8761735351731,0.0024797947405644553,0.37004387122809995
24,2.0,86.5,732.0,2.01,0.605296571031582,466.61985790559004,0.002507850617749566,0.3685896333800746
25,2.0,86.5,731.0,2.02,0.6039734369413988,465.96415888352766,0.002529630601158079,0.36809494427512635
26,2.0,88.5,731.0,2.05,0.602902034215586,464.9388342465505,0.00254429196106228,0.3667097182754727
27,2.0,86.5,729.0,2.05,0.599962120064017,463.7929712192768,0.0025956190868697267,0.36608810137609205
28,2.0,83.0,730.0,2.02,0.5984068859187522,463.2826043854702,0.0026226225157296164,0.36582209147467964
29,2.0,86.5,732.0,2.04,0.6010046196674824,463.9350507470852,0.0025735148357181594,0.36564552603704253
30,2.0,88.5,729.0,2.08,0.5989729818074715,462.8182568884298,0.0026097400005355036,0.364715836149392
31,2.0,88.5,732.0,2.09,0.5972501131018858,461.23510820871684,0.0026317673067988876,0.3622571817785756
32,2.0,88.5,731.0,2.1,0.596017625006445,460.6322225280178,0.0026539002596150953,0.36172304972645103
33,2.0,88.5,731.0,2.11,0.5946788884667719,459.7953927628052,0.002676138858984124,0.360695580003565
34,2.0,88.5,726.0,2.14,0.5913257315303931,458.52303821462624,0.0027434885364081433,0.3600301680375908
35,2.0,86.5,732.0,2.1,0.5927792903684402,458.79556275794766,0.0027077616813428384,0.35946940453259696
36,2.0,86.5,729.0,2.12,0.5904884964610717,457.85811860743456,0.002753375343865878,0.35881210757478343
37,2.0,88.5,732.0,2.13,0.5919214369751761,457.90790545392827,0.002720932997380648,0.3581230229105776
38,2.0,86.5,732.0,2.13,0.5888359432599675,456.3343994955438,0.0027763443089989237,0.3562521950022468
39,2.0,88.5,731.0,2.16,0.588166347174404,455.72747029302195,0.002788916554121599,0.355422500144783
40,2.0,88.5,731.0,2.17,0.5868989142179792,454.93638122286137,0.0028117890328075595,0.35434275770571017
41,2.0,88.5,727.0,2.21,0.5823981653919359,452.7650771736327,0.002904335413079623,0.3519560250385394
42,2.0,88.5,732.0,2.19,0.5842840393607063,453.1449919213884,0.002857850929837948,0.35166399768127066
43,2.0,88.5,732.0,2.2,0.5830505817405124,452.37643087409225,0.0028810403481823745,0.35056121594860296
44,2.0,86.5,732.0,2.19,0.5812649943279692,451.6143603621664,0.002916427973998589,0.3496000691312622
45,2.0,88.5,732.0,2.23,0.5794148328550034,450.11210527734966,0.002951242482532587,0.34721397760161327
46,2.0,86.5,731.0,2.22,0.5777403781467206,449.5757261422162,0.0029879290113421684,0.34668347400533883
47,2.0,86.5,730.0,2.23,0.5766605963398564,449.05878024017807,0.003011978868952064,0.34603640662993757
48,2.0,88.5,731.0,2.26,0.5759836908191535,448.1316150618339,0.003022395435858197,0.3443164925245248
49,2.0,86.5,727.0,2.27,0.5723283553382739,446.81882627027557,0.0031092591918684977,0.3429110055885702
50,2.0,88.5,732.0,2.27,0.5747127156428603,447.1861045062285,0.003046324380072378,0.34267198258132214
51,2.0,88.5,730.0,2.28,0.5737823430684694,446.91476233486634,0.0030703589708393807,0.34253047720580415
52,2.0,86.5,729.0,2.29,0.5698323054440285,444.95546024669216,0.0031585478888128244,0.339546240231651
53,2.0,88.5,732.0,2.3,0.5712906081187902,445.0583930759241,0.003118745092031852,0.3392173008444254
54,2.0,88.5,731.0,2.32,0.5691650962825372,443.8884131740667,0.003167553799435612,0.33739914413385097
55,2.0,83.0,731.0,2.27,0.5666961689058352,443.3241385846817,0.0032266932759278232,0.3366994333074079
56,2.0,88.5,732.0,2.33,0.5679542653204374,442.98547249790215,0.003192116622966725,0.33573078404872386
57,2.0,83.0,729.0,2.29,0.56467396281017,442.36535237878365,0.003278060411899923,0.3352782302198463
58,2.0,88.5,732.0,2.35,0.5657760847741345,441.6329285746539,0.003241559209687417,0.33339291457582676
59,2.0,88.5,732.0,2.37,0.5636336700989957,440.3032123969456,0.003291424382619396,0.3310470932368377
60,2.0,88.5,732.0,2.38,0.5625755972576106,439.64673487223666,0.0033165154389146185,0.3298719565859795
61,2.0,83.0,731.0,2.33,0.5600974289516781,439.2223414362334,0.0033821464505802293,0.32937405614911613
62,2.0,88.5,732.0,2.39,0.561526136324366,438.99575088329937,0.0033417121417626634,0.32869573342797637
63,2.0,88.5,732.0,2.41,0.5594526276100463,437.70998997568876,0.003392422487117219,0.32634120100220704
64,2.0,88.5,732.0,2.42,0.5584283728712003,437.0750791142861,0.0034179361296237296,0.32516346986915523
65,2.0,88.5,731.0,2.43,0.5575159268661889,436.65343382359407,0.0034435554186830622,0.3244864321940971
66,2.0,88.5,732.0,2.44,0.5564043578503156,435.82086995364625,0.003469280354295217,0.3228084956318433
67,2.0,88.5,732.0,2.45,0.5554044005588318,435.20144420492204,0.003495110936460194,0.32163180804642755
68,2.0,88.5,732.0,2.46,0.5544123480535617,434.58705443789484,0.0035210471651779917,0.320456017044721
69,2.0,83.0,731.0,2.41,0.5517965344373268,434.0709834683343,0.003595725594885274,0.3195825448735713
70,2.0,88.5,732.0,2.47,0.5534281057516454,433.97763948679494,0.003547089040448613,0.3192813900218805
71,2.0,88.5,732.0,2.48,0.5524515805825139,433.37313917239754,0.0035732365622720553,0.3181081900160271
72,2.0,86.5,732.0,2.47,0.5506770316219649,432.6195470076034,0.00362160222589505,0.3166100510755408
73,2.0,88.5,732.0,2.51,0.5495673992214778,431.5885386426424,0.0036523130070593144,0.3145997150460486
74,2.0,88.5,732.0,2.52,0.5486208410818567,431.00311413023593,0.003678883115094046,0.3134347629688489
75,2.0,88.5,732.0,2.53,0.5476815563746017,430.4223174795878,0.0037055588696815974,0.31227248449278566
76,2.0,88.5,731.0,2.54,0.5468489991970947,430.0451062278868,0.0037323402708219727,0.3116050203329735
77,2.0,88.5,732.0,2.55,0.5458244701473037,429.2743899818359,0.0037592273185151686,0.3099568837498658
78,2.0,88.5,732.0,2.56,0.5449065033352982,428.70715237064206,0.003786220012761188,0.30880401693797077
79,2.0,88.5,732.0,2.57,0.5439954793212435,428.1443290599245,0.003813318353560027,0.30765473456201353
80,2.0,88.5,732.0,2.58,0.5430913186095591,427.58586872060783,0.003840522340911691,0.30650925194557344
81,2.0,86.5,731.0,2.57,0.5414237301968288,427.033660095315,0.0038939871300610637,0.305386452868771
82,2.0,88.5,732.0,2.59,0.5421939429214053,427.0317208163438,0.0038678319748161744,0.30536777940873316
