,z0,da0,n0,f,E,T,Q,score
0,2.0,88.5,732.0,1.8,0.6427656092437419,489.77973517584064,0.0018892875178829994,0.5913272933988671
1,2.0,76.5,729.0,2.6,0.5254007480175419,419.1921231336313,0.004101579817151434,0.40867270660113275
2,2.0,88.5,731.0,1.81,0.6410947921527803,488.92261663484396,0.0019067235253837833,0.38671050674349805
3,2.0,88.5,730.0,1.82,0.639442675476486,488.0756737620113,0.001924256131264073,0.3864649914689463
4,2.0,88.5,729.0,1.84,0.6360581615293442,486.13451217129233,0.0019596111381631693,0.3855321204401138
5,2.0,88.5,731.0,1.83,0.6375392773018398,486.683693415536,0.0019418853355238686,0.3853748444559608
6,2.0,86.5,732.0,1.83,0.633923369919085,484.5772566050967,0.001979283984440254,0.38418014378561544
7,2.0,86.5,731.0,1.84,0.632321793266268,483.75985921893,0.001997419632227284,0.3838842040262942
8,2.0,86.5,730.0,1.86,0.6290393181245861,481.88268206310534,0.002033987423405493,0.38283746356687154
9,2.0,88.5,732.0,1.87,0.6305196610051202,482.07905487842186,0.002013368136358107,0.38211914999520524
10,2.0,88.5,732.0,1.89,0.6271834058807343,479.9836316682399,0.0020496891270522606,0.3806226825457012
11,2.0,88.5,731.0,1.9,0.6256703463960808,479.2186520501068,0.002067994519968596,0.3802929252723642
12,2.0,86.5,730.0,1.9,0.6224195281581848,477.7178285174366,0.002108308988178501,0.3797277096209179
13,2.0,88.5,731.0,1.91,0.6240440688961845,478.19688498213856,0.002086396511264437,0.3795150380137005
14,2.0,88.5,731.0,1.93,0.6208408177238938,476.18511562551714,0.002123490288994637,0.37792066058656754
15,2.0,88.5,732.0,1.94,0.6191363707372843,474.93409377772406,0.002142182075428995,0.37665606109166866
16,2.0,88.5,731.0,1.95,0.6177016404975629,474.21461333262135,0.002160970460242859,0.3762753225780306
17,2.0,88.5,731.0,1.96,0.6161554743993162,473.2444425608639,0.0021798554434362288,0.3754337863351863
18,2.0,88.5,730.0,1.98,0.6132341024844561,471.589617011218,0.0022179152049614857,0.3741723259839334
19,2.0,88.5,732.0,1.97,0.614499383614454,472.0274054691733,0.0021988370250091045,0.37412431847030686
20,2.0,88.5,730.0,2.0,0.6102457169189068,469.7143280558154,0.0022563613600047653,0.37240803991244675
21,2.0,88.5,732.0,2.01,0.6085266866570455,468.2867916591644,0.0022757293350956637,0.3705781954096742
22,2.0,86.5,732.0,2.0,0.6067550926077987,467.53269233948157,0.002301031130874466,0.3701069769251763
23,2.0,86.5,732.0,2.01,0.605296571031582,466.61985790559004,0.002320846920418333,0.3691663878408123
24,2.0,88.5,731.0,2.05,0.602902034215586,464.9388342465505,0.0023541672192543147,0.3673193518911582
25,2.0,88.5,732.0,2.06,0.6013788312936089,463.81530549064644,0.002374018186242742,0.3658867321616891
26,2.0,86.5,731.0,2.05,0.5997208821686535,463.3020378577439,0.0024010983972742937,0.3657679937824631
27,2.0,83.0,731.0,2.04,0.59548249984794,461.28290567498726,0.0024676068861171226,0.3639267829718842
28,2.0,88.5,731.0,2.09,0.5973688365592871,461.47706023356716,0.002434150677485057,0.36342305879630515
29,2.0,88.5,732.0,2.1,0.5958994116987131,460.3914246530383,0.0024543880379915076,0.36194278770347044
30,2.0,88.5,730.0,2.12,0.5934702504476775,459.20563334346417,0.002495152554142925,0.36088136487395295
31,2.0,86.5,731.0,2.11,0.5915693460585414,458.2048961780442,0.0025244405685997118,0.3596531842122305
32,2.0,88.5,728.0,2.15,0.589795959444086,457.23535956872826,0.002557023816216343,0.3587584373453155
33,2.0,88.5,731.0,2.16,0.588166347174404,455.72747029302195,0.002577840766999828,0.3562349451779972
34,2.0,86.5,732.0,2.15,0.5862665895156098,454.7317815572342,0.002608645320177641,0.3549020674697912
35,2.0,88.5,731.0,2.19,0.5843978596470265,453.3758767556953,0.0026408712096273154,0.3530293485009103
36,2.0,88.5,731.0,2.2,0.5831639348675879,452.6062643252974,0.0026620745539288225,0.3519462768927189
