,z0,da0,n0,f,E,T,Q,score
40,3.0,89.0,730.0,1.8,0.5317215279500271,421.99533576401285,0.0024317451146224915,0.29429949628705937
41,3.0,85.5,732.0,1.78,0.5295086261898455,420.96101417347825,0.002462263327841605,0.29397162585108805
42,3.0,89.0,731.0,1.83,0.5279721204437935,419.55065419664,0.002488946491016023,0.29352480850057316
43,3.0,89.0,729.0,1.85,0.5257839186884432,418.4538827129674,0.0025276060071093556,0.29339987030152653
44,3.0,85.5,731.0,1.85,0.5211999493083188,415.964162338194,0.0026011968853198505,0.2927350352469703
45,3.0,89.0,732.0,1.87,0.5231854094246556,416.4740076187758,0.002566685735334137,0.2926299026386399
46,3.0,89.0,732.0,1.91,0.518682286938482,413.7031625087428,0.0026461058281780476,0.2919655993913927
47,3.0,89.0,732.0,1.93,0.5164987464049317,412.3608100849703,0.0026864461927971774,0.2916676478647645
48,3.0,89.0,732.0,1.95,0.5143587223867048,411.0459930955317,0.0027272067695477556,0.29139156214772693
49,3.0,85.5,732.0,2.55,0.4618915450195441,379.6493091031979,0.0042852400062682785,0.29138337936812464
50,3.0,89.0,732.0,2.58,0.46351791153582367,380.06370671067714,0.004226261021976578,0.2910446163808148
51,3.0,85.5,731.0,2.5,0.46511982202255797,381.6922844814751,0.004147181276385331,0.2910291065503105
52,3.0,89.0,732.0,1.98,0.5112274417450741,409.12357128521603,0.0027891355324200914,0.29101698214517324
53,3.0,89.0,732.0,2.0,0.5091906171871224,407.8739971085108,0.0028309466394992933,0.29079270446164773
54,3.0,79.0,728.0,2.07,0.4909682606161375,398.85391118276357,0.0032654945205785857,0.2907704963729479
55,3.0,89.0,731.0,2.53,0.46672193888360636,382.0924144381552,0.004092055772494968,0.2907192449544945
56,3.0,89.0,731.0,2.02,0.5072774337990458,406.8164421373022,0.0028731779587099445,0.2907151703201305
57,3.0,82.5,730.0,2.03,0.4987045090399833,402.76538950483837,0.003064992699700627,0.2906127266932562
58,3.0,89.0,723.0,2.31,0.4826959924949663,392.6032355394023,0.003532753425535997,0.29059024185043353
59,3.0,85.5,732.0,2.03,0.5021018133545807,404.11230840781786,0.0029830591306673764,0.29038177481631267
60,3.0,89.0,731.0,2.06,0.503393660589182,404.43487769493237,0.0029589012335255946,0.29036115353011743
61,3.0,89.0,732.0,2.47,0.4705783126496255,384.3344479416721,0.003934476223201495,0.2901724692407846
62,3.0,85.5,732.0,2.39,0.47245458668067525,386.04260019922344,0.003853075174191124,0.2901410898101057
63,3.0,89.0,732.0,2.45,0.47192803943579337,385.152148303525,0.0038827901310332356,0.2900494415465053
64,3.0,85.5,732.0,2.08,0.49738938367703717,401.2285876133106,0.0030954197999384495,0.2900492694416094
65,3.0,89.0,732.0,2.09,0.5004937173440787,402.54686509203094,0.0030242967464823856,0.2900184768048178
66,3.0,85.5,730.0,2.17,0.4895946199166386,396.67968238965784,0.0033045582719393495,0.28995922319746975
67,3.0,89.0,730.0,2.32,0.48139983789971696,391.10246223524797,0.003557073202643623,0.2897703070812326
68,3.0,89.0,731.0,2.17,0.49343076665858393,398.3382922214928,0.0032033071144797727,0.2897470538926168
69,3.0,89.0,732.0,2.14,0.4959692092803701,399.7809606182614,0.003135390328734286,0.28974218028839566
70,3.0,89.0,731.0,2.35,0.4790840535767344,389.5931707764195,0.003630662852163676,0.2897247475108469
71,3.0,89.0,732.0,2.38,0.47682522578677733,388.1223246179022,0.003705197978979489,0.28970935399571257
72,3.0,85.5,732.0,2.18,0.4885945690582241,395.8579883354668,0.003328342647186511,0.2896997016409705
73,3.0,89.0,732.0,2.26,0.4859040911852443,393.6421213083378,0.0034127303354908,0.28947695552743324
