,z0,da0,n0,f,E,T,Q,score
0,2.0,88.5,730.0,1.2,0.8044379727333505,593.4833991123955,0.0010850489502085385,0.6009993262213386
1,2.0,88.5,729.0,1.22,0.7967304274587823,588.8279644007306,0.0011106154159914602,0.39950122656468234
2,3.0,89.0,729.0,2.59,0.4631072016733212,380.08571923203874,0.004253417230971486,0.3990006737786614
3,2.0,88.5,731.0,1.23,0.7924865613515064,585.5239623654702,0.0011235571187121541,0.39783446685480667
4,2.0,88.5,732.0,1.25,0.7847688693300532,580.2957315860718,0.0011497574638120076,0.39533960091103415
5,2.0,88.5,729.0,1.26,0.7816582938942506,579.1528004426062,0.0011630161061911676,0.3949115536504287
6,2.0,88.5,729.0,1.28,0.7744685815287521,574.5419801188126,0.001189850330607953,0.39277963224297296
7,2.0,88.5,731.0,1.29,0.7705862182898908,571.5024358400144,0.0012034259126455788,0.39129924485306217
8,2.0,88.5,731.0,1.3,0.7671288308297437,569.2913489648464,0.0012171071412360266,0.39028079120711767
9,2.0,88.5,732.0,1.31,0.7635423565062135,566.7277543309643,0.0012308940163792963,0.3890595587462207
10,2.0,88.5,730.0,1.33,0.7572415847549685,563.2390772376674,0.0012587847063243018,0.38754846272298943
11,2.0,88.5,732.0,1.34,0.7536278610462738,560.3994067306343,0.0012728885211260375,0.38615745229083037
12,2.0,88.5,731.0,1.35,0.7505948963569375,558.7272672279324,0.0012870979824805952,0.38544147214944147
13,2.0,88.5,732.0,1.37,0.7441387838181976,554.3482130398079,0.0013158338448481766,0.38339833668609524
14,2.0,88.5,732.0,1.38,0.7410655464843725,552.389614115724,0.0013303602458612,0.38250901553899774
15,2.0,88.5,732.0,1.39,0.7380356043667077,550.4591964711233,0.0013449922934270456,0.3816344368077175
16,2.0,88.5,730.0,1.41,0.7324411009093056,547.3991705274988,0.001374573328217203,0.3803644814057231
17,2.0,88.5,732.0,1.42,0.7291964928706708,544.8310774227804,0.0013895223154415147,0.3790966374846588
18,2.0,88.5,732.0,1.43,0.7263308011238575,543.0075143744828,0.0014045769492186482,0.3782785451108687
19,2.0,88.5,731.0,1.45,0.720880399290492,539.7847758376041,0.0014350031564313815,0.37689940263997046
